element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""290.230""","=""0.008""","=""290.21958""","=""0.00003""","=""""","=""4.3e+05""",D,"=""71352.54344""","=""105799.119""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L7393""",
C,1,"=""290.326""","=""0.008""","=""290.32403""","=""0.00003""","=""""","=""1.3e+06""",D,"=""71364.93596""","=""105799.119""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L7393""",
C,2,"=""""","=""""","=""290.4629""","=""0.0005""","=""""","=""4.25e+06""",B,"=""186427.37""","=""220845.09""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""""",
C,1,"=""290.495""","=""0.008""","=""290.49677""","=""0.00003""","=""""","=""2.2e+06""",D,"=""71385.40992""","=""105799.119""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L7393""",
C,2,"=""290.5715""","=""0.0007""","=""290.5720""","=""0.0005""","=""26""","=""1.07e+07""",B,"=""186427.37""","=""220832.17""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""290.6011""","=""0.0007""","=""290.6009""","=""0.0005""","=""26""","=""2.13e+07""",B,"=""186443.71""","=""220845.09""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,3,"=""""","=""""","=""290.674""","=""""","=""""","=""1.30e+07""",B,"=""346712.73""","=""381105.4""","=""1s2.2p.(2P*).3d""","=""1P*""","=""1""","=""1s2.2p.(2P*).4p""","=""1P""","=""1""",,"=""T5633""","=""""",
C,2,"=""290.7090""","=""0.0020""","=""290.7101""","=""0.0005""","=""25""","=""3.42e+06""",B,"=""186443.71""","=""220832.17""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""290.896""","=""0.005""","=""290.8834""","=""0.0005""","=""37w*""","=""7.66e+06""",B,"=""186443.71""","=""220811.68""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""290.896""","=""0.005""","=""290.8989""","=""0.0005""","=""37w*""","=""1.15e+07""",B,"=""186466.03""","=""220832.17""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""291.0729""","=""0.0007""","=""291.0724""","=""0.0005""","=""53""","=""1.78e+07""",B,"=""186466.03""","=""220811.68""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,4,"=""""","=""""","=""293.491""","=""""","=""""","=""1.81e+06""",B+,"=""449888.2""","=""[483950.8]""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
C,4,"=""""","=""""","=""293.506""","=""""","=""""","=""1.62e+07""",B+,"=""449889.9""","=""[483950.8]""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
