element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""290.0208""","=""0.0005""","=""290.020795""","=""0.000014""","=""120""","=""9.6e+07""",D+,"=""70523.694""","=""104993.879""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""290.0237""","=""0.0005""","=""290.024346""","=""0.000015""","=""130""","=""""",,"=""69650.481""","=""104120.244""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(5D).5d""","=""6P""","=""5/2""",,"=""""","=""L18349c143""",
Fe,3,"=""290.0535""","=""0.0012""","=""290.0542""","=""0.0005""","=""410""","=""""",,"=""117068.82""","=""151535.03""","=""3d5.(4P).4p""","=""5D*""","=""3""","=""3d5.(6S).4d""","=""5D""","=""2""",,"=""""","=""L1171""",
Fe,2,"=""290.06555""","=""0.00006""","=""290.065556""","=""0.000021""","=""900""","=""9.6e+07""",D+,"=""75600.900""","=""110065.766""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""290.0768""","=""0.0005""","=""290.076608""","=""0.000014""","=""170d?""","=""2.9e+06""",D,"=""65109.691""","=""99573.244""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""290.0938""","=""0.0003""","=""290.094302""","=""0.000019""","=""0""","=""""",,"=""22845.869""","=""57307.320""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d6.4s.(6D).5d""","=""7F""","=""4""",,"=""""","=""L11631c80""",
Fe,2,"=""290.1021""","=""0.0005""","=""290.102771""","=""0.000018""","=""110d""","=""3.2e+07""",D+,"=""72261.742""","=""106722.187""","=""3d6.(1G2).4p""","=""x 2H*""","=""11/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""290.13805""","=""0.00003""","=""290.138059""","=""0.000012""","=""1150""","=""1.72e+07""",B,"=""12560.934""","=""47017.188""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",,"=""T5720""","=""L11631""",
Fe,3,"=""290.141""","=""0.003""","=""290.1431""","=""0.0008""","=""240bl(Fe II)""","=""""",,"=""165939.83""","=""200395.48""","=""3d5.(b 2G).4p""","=""3H*""","=""5""","=""3d5.(4F).4d""","=""5G""","=""5""",,"=""""","=""L3495,L1171""",
Fe,2,"=""290.1473""","=""0.0005""","=""290.146387""","=""0.000014""","=""500""","=""""",,"=""26170.1810""","=""60625.446""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""",,"=""""","=""L18349c142""",
Fe,2,"=""290.1537""","=""0.0005""","=""290.153066""","=""0.000014""","=""1200""","=""""",,"=""26352.7671""","=""60807.239""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.1585""","=""0.0003""","=""290.158455""","=""0.000019""","=""0""","=""""",,"=""17726.988""","=""52180.820""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d7.(2P).4p""","=""1P*""","=""1""",,"=""""","=""L11631c80""",
Fe,1,"=""290.1805""","=""0.0003""","=""290.181188""","=""0.000012""","=""5""","=""""",,"=""12968.554""","=""47419.687""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""""","=""L11631c80""",
Fe,1,"=""290.19102""","=""0.00007""","=""290.191002""","=""0.000012""","=""830""","=""1.96e+08""",B+,"=""19350.891""","=""53800.859""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""5""",,"=""T5720""","=""L11631""",
Fe,1,"=""290.1975""","=""0.0003""","=""290.197775""","=""0.000012""","=""1""","=""""",,"=""19788.251""","=""54237.415""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""4""",,"=""""","=""L11631c80""",
Fe,2,"=""290.2056""","=""0.0005""","=""290.206232""","=""0.000014""","=""700d?""","=""""",,"=""31483.1979""","=""65931.358""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.22065""","=""0.00018""","=""290.220623""","=""0.000015""","=""500""","=""2.0e+07""",D+,"=""72619.499""","=""107065.951""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""","=""3d6.(5D).5d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""290.2320""","=""0.0005""","=""290.231807""","=""0.000014""","=""1000""","=""7.0e+06""",C+,"=""27620.4033""","=""62065.528""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",,"=""T7461""","=""L18349c143""",
Fe,2,"=""290.2363""","=""0.0005""","=""290.235950""","=""0.000014""","=""110d""","=""4.e+06""",D,"=""72352.046""","=""106796.679""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""290.2468""","=""0.0005""","=""290.246291""","=""0.000014""","=""1400""","=""3.2e+07""",D+,"=""30388.5451""","=""64831.951""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
Fe,3,"=""290.247""","=""0.005""","=""290.2522""","=""0.0006""","=""2600bl(Fe II)""","=""""",,"=""82495.15""","=""116937.86""","=""3d5.(a 2D).4s""","=""3D""","=""1""","=""3d5.(4G).4p""","=""5F*""","=""1""",,"=""""","=""L3495""",
Fe,1,"=""290.2615""","=""0.0003""","=""290.261569""","=""0.000019""","=""0""","=""""",,"=""22996.674""","=""57438.267""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.4s.(6D).5d""","=""7S""","=""3""",,"=""""","=""L11631c80""",
Fe,12,"=""""","=""""","=""290.27""","=""0.06""","=""""","=""3.2e+02""",C,"=""46075""","=""80515""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",M1,"=""T4634""","=""""",
Fe,12,"=""""","=""""","=""290.27""","=""0.06""","=""""","=""5.2e+00""",D,"=""46075""","=""80515""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",E2,"=""T4634""","=""""",
Fe,2,"=""290.2778""","=""0.0005""","=""290.27885""","=""0.00016""","=""350""","=""""",,"=""60441.042""","=""94880.585""","=""3d5.4s2""","=""c 4D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.3386""","=""0.0005""","=""290.339077""","=""0.000014""","=""250d?""","=""""",,"=""57411.086""","=""91843.485""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.3507""","=""0.0005""","=""290.349956""","=""0.000016""","=""100d?""","=""""",,"=""73395.831""","=""107826.940""","=""3d5.4s2""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.40844""","=""0.00018""","=""290.408629""","=""0.000019""","=""120""","=""1.60e+07""",D+,"=""21999.130""","=""56423.283""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(1I).4s.4p.(3P*)""","=""u 3H*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""290.41600""","=""0.00013""","=""290.41611""","=""0.00010""","=""191""","=""""",,"=""19552.478""","=""53975.744""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d6.(3D).4s.4p.(3P*)""","=""5D*""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""290.4373""","=""0.0005""","=""290.437865""","=""0.000014""","=""400""","=""""",,"=""25981.6451""","=""60402.333""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""",,"=""""","=""L18349c142""",
