element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,3,"=""""","=""291.4987632""","=""0.0000021""","=""""","=""2.3298e+08""",AA,"=""(925932.587659)""","=""(960228.00859)""","=""4p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5009894""","=""0.0000021""","=""""","=""1.4446e+08""",AA,"=""(925932.85143)""","=""(960228.010455)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5074187""","=""0.0000021""","=""""","=""1.9364e+07""",AA,"=""(925932.587659)""","=""(960226.990320)""","=""4p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5103265""","=""0.0000021""","=""""","=""7.2260e+07""",AA,"=""(925932.85143)""","=""(960226.912020)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5271194""","=""0.0000021""","=""""","=""5.8427e+08""",AA,"=""(925936.28876)""","=""(960228.374000)""","=""4d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5271663""","=""0.0000021""","=""""","=""4.1935e+08""",AA,"=""(925936.294951)""","=""(960228.37467)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5302102""","=""0.0000021""","=""""","=""3.0537e+06""",AA,"=""(925936.28876)""","=""(960228.010455)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5302786""","=""0.0000021""","=""""","=""4.6600e+07""",AA,"=""(925936.294951)""","=""(960228.00859)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5360516""","=""0.0000021""","=""""","=""8.5848e+08""",AA,"=""(925937.52206)""","=""(960228.556687)""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5360676""","=""0.0000021""","=""""","=""8.3464e+08""",AA,"=""(925937.52429)""","=""(960228.557040)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5375992""","=""0.0000021""","=""""","=""4.9682e+05""",AA,"=""(925937.52206)""","=""(960228.37467)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5376238""","=""0.0000021""","=""""","=""4.1731e+07""",AA,"=""(925937.52429)""","=""(960228.374000)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5389361""","=""0.0000021""","=""""","=""3.8758e+07""",AA,"=""(925936.294951)""","=""(960226.990320)""","=""4p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5395492""","=""0.0000021""","=""""","=""1.5286e+07""",AA,"=""(925936.28876)""","=""(960226.912020)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5403701""","=""0.0000021""","=""""","=""1.1128e+09""",AA,"=""(925938.13979)""","=""(960228.666503)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5407117""","=""0.0000021""","=""""","=""6.9588e+06""",AA,"=""(925937.52206)""","=""(960228.00859)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5407148""","=""0.0000021""","=""""","=""2.7493e+07""",AA,"=""(925937.52429)""","=""(960228.010455)""","=""4d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5413038""","=""0.0000021""","=""""","=""3.1793e+07""",AA,"=""(925938.13979)""","=""(960228.556687)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""291.5428514""","=""0.0000021""","=""""","=""9.9384e+06""",AA,"=""(925938.13979)""","=""(960228.37467)""","=""4f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,2,"=""293.402""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""293.407""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""293.412""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""293.425""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""""","=""295.410""","=""0.020""","=""""","=""6.0927e+07""",AAA,"=""[558777.01]""","=""[592618.4]""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""296.3279""","=""0.0016""","=""""","=""5.6915e+02""",AAA,"=""[558777.01]""","=""[592513.56]""","=""1s.3s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Li,1,"=""296.8""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""""","=""302.908""","=""0.014""","=""""","=""2.0896e+08""",AAA,"=""[559499.5]""","=""[592503.22]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""302.912""","=""302.912""","=""0.014""","=""3*""","=""6.9666e+07""",AAA,"=""[559499.5]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""302.912""","=""302.912""","=""0.007""","=""3*""","=""3.9012e+08""",AAA,"=""[559500.55]""","=""[592503.88]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
