element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""290.0267""","=""290.0265""","=""""","=""7""","=""""",,"=""231530.246""","=""265999.75""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""""","=""290.0891""","=""""","=""""","=""""",,"=""231530.246""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""290.4245""","=""290.4238""","=""""","=""8""","=""""",,"=""231296.126""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,4,"=""""","=""290.469""","=""""","=""""","=""3.67e+05""",B,"=""547326""","=""581743""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""290.5010""","=""290.5004""","=""""","=""8""","=""""",,"=""231350.087""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""290.6120""","=""""","=""""","=""""",,"=""231530.246""","=""265930.31""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""9/2""",,"=""""","=""L11267""",
O,4,"=""""","=""290.655""","=""""","=""""","=""3.66e+06""",B,"=""547326""","=""581721""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""290.6553""","=""290.6553""","=""""","=""13""","=""""",,"=""231530.246""","=""265925.19""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""11/2""",,"=""""","=""L10621""",
O,4,"=""""","=""290.714""","=""""","=""""","=""3.29e+06""",B,"=""547355""","=""581743""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""290.8643""","=""290.8637""","=""""","=""6""","=""""",,"=""231350.087""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
