element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""290.0442""","=""""","=""290.0432""","=""0.0008""","=""15""","=""""",,"=""14976.18""","=""49443.70""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""290.0518""","=""""","=""290.0511""","=""0.0008""","=""25""","=""""",,"=""13777.71""","=""48244.29""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""290.0812""","=""""","=""290.0805""","=""0.0008""","=""15""","=""""",,"=""12161.96""","=""46625.05""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""290.0866""","=""""","=""290.0859""","=""0.0008""","=""8""","=""""",,"=""22852.80""","=""57315.25""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""290.11587""","=""""","=""290.1156""","=""0.0005""","=""2""","=""""",,"=""20039.682""","=""54498.608""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""290.1789""","=""""","=""290.1786""","=""0.0008""","=""35""","=""""",,"=""17701.18""","=""52152.62""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""290.2040""","=""""","=""290.2040""","=""0.0008""","=""15""","=""""",,"=""3325.53""","=""37773.96""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""290.2201""","=""""","=""290.2201""","=""0.0008""","=""30""","=""""",,"=""6219.33""","=""40665.85""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""290.2429""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""290.25598""","=""""","=""290.2560""","=""0.0003""","=""4""","=""""",,"=""28118.836""","=""62561.090""","=""5d4.(3P1).6s""","=""4P""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""290.2602""","=""""","=""290.2605""","=""0.0008""","=""12""","=""""",,"=""14976.18""","=""49417.90""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""290.3230""","=""""","=""290.3223""","=""0.0008""","=""4""","=""""",,"=""23484.78""","=""57919.17""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,3,"=""290.351""","=""""","=""290.3529""","=""0.0005""","=""""","=""5.0e+07""",C,"=""28391.09""","=""62821.85""","=""5d3.(4F).6s""","=""3F""","=""3""","=""""","=""""","=""2""",,"=""T7469""","=""L14407""",
W,2,"=""290.40670""","=""""","=""290.40670""","=""0.00004""","=""24""","=""""",,"=""20534.191""","=""54958.573""","=""""","=""""","=""11/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,2,"=""290.45380""","=""""","=""290.45375""","=""0.00017""","=""5""","=""""",,"=""22194.031""","=""56612.836""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""290.4788""","=""""","=""290.4782""","=""0.0008""","=""40*""","=""""",,"=""18974.51""","=""53390.42""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""290.4788""","=""""","=""290.4791""","=""0.0008""","=""40*""","=""""",,"=""19253.56""","=""53669.36""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""290.5182""","=""""","=""""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""290.5545""","=""""","=""290.5522""","=""0.0008""","=""2""","=""""",,"=""20983.02""","=""55390.16""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""290.55895""","=""""","=""290.5590""","=""0.0003""","=""4""","=""""",,"=""23450.418""","=""57856.759""","=""5d4.(3D).6s""","=""4D""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""290.5602""","=""""","=""290.5595""","=""0.0008""","=""8""","=""""",,"=""20983.02""","=""55389.30""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""290.6022""","=""""","=""290.6011""","=""0.0008""","=""2""","=""""",,"=""20983.02""","=""55384.38""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""290.6134""","=""""","=""290.6121""","=""0.0008""","=""3""","=""""",,"=""23930.08""","=""58330.13""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""290.64008""","=""""","=""290.6401""","=""0.0003""","=""4""","=""""",,"=""22535.610""","=""56932.345""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,1,"=""290.6576""","=""""","=""290.6570""","=""0.0008""","=""20""","=""""",,"=""18082.83""","=""52477.57""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""290.6734""","=""""","=""290.6730""","=""0.0008""","=""15""","=""""",,"=""13777.71""","=""48170.55""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""290.7260""","=""""","=""290.7260""","=""0.0008""","=""35""","=""""",,"=""18116.84""","=""52503.41""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""290.7660""","=""""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""290.7848""","=""""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""290.8266""","=""""","=""290.8259""","=""0.0008""","=""20""","=""""",,"=""16431.31""","=""50806.07""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""290.8403""","=""""","=""290.8400""","=""0.0008""","=""30""","=""""",,"=""18280.48""","=""52653.58""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""290.84640""","=""""","=""290.8464""","=""0.0003""","=""3""","=""""",,"=""30618.045""","=""64990.383""","=""""","=""""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,2,"=""290.84909""","=""""","=""290.84902""","=""0.00013""","=""8""","=""""",,"=""22502.951""","=""56874.983""","=""5d4.(3D).6s""","=""4D""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""290.9120""","=""""","=""290.9123""","=""0.0008""","=""50""","=""7.2e+07""",C,"=""9528.06""","=""43892.62""","=""5d4.6s2""","=""3P2""","=""0""","=""""","=""*""","=""1""",,"=""T6977""","=""L153""",
W,1,"=""290.9188""","=""""","=""290.9192""","=""0.0008""","=""5""","=""""",,"=""6219.33""","=""40583.07""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""290.9274""","=""""","=""290.9263""","=""0.0008""","=""5""","=""""",,"=""17701.18""","=""52064.08""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""290.9460""","=""""","=""290.9447""","=""0.0008""","=""6""","=""""",,"=""18116.84""","=""52477.57""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""290.9633""","=""""","=""290.9627""","=""0.0008""","=""10""","=""""",,"=""17701.18""","=""52059.78""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""290.9930""","=""""","=""290.9933""","=""0.0008""","=""3""","=""""",,"=""22476.68""","=""56831.67""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""291.03150""","=""""","=""291.0315""","=""0.0003""","=""3""","=""""",,"=""22194.031""","=""56544.508""","=""""","=""""","=""7/2""","=""5d3.(4P).6s.(5P).6p""","=""6P*""","=""5/2""",,"=""""","=""L11762""",
W,2,"=""291.04749""","=""""","=""291.0474""","=""0.0004""","=""14bl""","=""5.80e+07""",B,"=""14634.336""","=""48982.939""","=""5d4.(5D).6s""","=""4D""","=""3/2""","=""5d3.(4F).6s.(5F).6p""","=""6D*""","=""3/2""",,"=""T7162""","=""L11762""",
W,1,"=""291.0483""","=""""","=""291.0479""","=""0.0008""","=""100""","=""""",,"=""3325.53""","=""37674.08""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""291.0607""","=""""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""291.0834""","=""""","=""291.0829""","=""0.0008""","=""6""","=""""",,"=""12161.96""","=""46506.37""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""291.0997""","=""""","=""291.0996""","=""0.0008""","=""100""","=""2.2e+07""",B,"=""0.00""","=""34342.44""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""T6977""","=""L153""",
W,1,"=""291.1142""","=""""","=""291.1138""","=""0.0008""","=""10""","=""""",,"=""13348.56""","=""47689.33""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""291.15220""","=""""","=""291.15217""","=""0.00017""","=""5""","=""""",,"=""30632.927""","=""64969.172""","=""""","=""""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,1,"=""291.2034""","=""""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""291.2187""","=""""","=""291.2173""","=""0.0008""","=""4""","=""""",,"=""15460.01""","=""49788.58""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""291.2251""","=""""","=""291.2246""","=""0.0008""","=""10""","=""""",,"=""19535.01""","=""53862.72""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,2,"=""291.24547""","=""""","=""291.24542""","=""0.00011""","=""9""","=""""",,"=""25045.238""","=""59370.490""","=""5d4.(3D).6s""","=""4D""","=""1/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,2,"=""291.25704""","=""""","=""291.25711""","=""0.00017""","=""5""","=""""",,"=""14857.160""","=""49181.034""","=""""","=""""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""291.2756""","=""""","=""291.2757""","=""0.0008""","=""15""","=""""",,"=""27213.82""","=""61535.50""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""291.3412""","=""""","=""291.3401""","=""0.0008""","=""3""","=""""",,"=""17701.18""","=""52015.28""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""291.35916""","=""""","=""291.3596""","=""0.0004""","=""2""","=""""",,"=""26929.008""","=""61240.813""","=""5d4.(1I).6s""","=""2I""","=""11/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,2,"=""291.37470""","=""""","=""291.37473""","=""0.00017""","=""5""","=""""",,"=""16553.087""","=""50863.106""","=""5d4.(3H).6s""","=""4H""","=""9/2""","=""5d4.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""291.3973""","=""""","=""291.3971""","=""0.0008""","=""7""","=""""",,"=""23982.80""","=""58290.18""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""291.4204""","=""""","=""291.4199""","=""0.0008""","=""6""","=""""",,"=""27849.80""","=""62154.50""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,2,"=""291.46446""","=""""","=""291.4644""","=""0.0004""","=""2""","=""""",,"=""19070.550""","=""53370.011""","=""""","=""""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""291.5040""","=""""","=""291.5040""","=""0.0008""","=""10""","=""""",,"=""28392.70""","=""62687.50""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""291.5118""","=""""","=""291.5110""","=""0.0008""","=""12""","=""""",,"=""14976.18""","=""49270.16""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""291.5210""","=""""","=""291.5216""","=""0.0008""","=""5""","=""""",,"=""19826.04""","=""54118.78""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""291.5356""","=""""","=""291.5355""","=""0.0008""","=""5""","=""""",,"=""19827.68""","=""54118.78""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""291.5395""","=""""","=""291.5391""","=""0.0008""","=""1""","=""""",,"=""22852.80""","=""57143.48""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""291.5587""","=""""","=""291.5583""","=""0.0008""","=""50""","=""""",,"=""17008.50""","=""51296.92""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
W,1,"=""291.6108""","=""""","=""291.6109""","=""0.0008""","=""15""","=""""",,"=""17008.50""","=""51290.73""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,2,"=""291.63352""","=""""","=""291.6335""","=""0.0003""","=""3""","=""""",,"=""23450.418""","=""57729.994""","=""5d4.(3D).6s""","=""4D""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""291.6388""","=""""","=""291.6386""","=""0.0008""","=""7""","=""""",,"=""22852.80""","=""57131.78""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""291.67539""","=""""","=""291.6753""","=""0.0003""","=""4""","=""""",,"=""18000.627""","=""52275.291""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,2,"=""291.68789""","=""""","=""291.6880""","=""0.0003""","=""4""","=""""",,"=""25169.877""","=""59443.051""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""291.7295""","=""""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""291.75200""","=""""","=""291.7520""","=""0.0003""","=""3""","=""""",,"=""26158.581""","=""60424.237""","=""5d5""","=""4G""","=""9/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""291.7668""","=""""","=""291.7669""","=""0.0008""","=""20""","=""""",,"=""18974.51""","=""53238.41""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""291.7768""","=""""","=""291.7765""","=""0.0008""","=""10""","=""""",,"=""27213.82""","=""61476.60""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""291.8254""","=""""","=""291.8249""","=""0.0008""","=""100""","=""""",,"=""6219.33""","=""40476.42""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""291.8419""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""291.86295""","=""""","=""291.86296""","=""0.00004""","=""24""","=""5.64e+07""",B,"=""11301.024""","=""45553.652""","=""5d3.6s2""","=""4F""","=""5/2""","=""""","=""""","=""3/2""",,"=""T7162""","=""L11762""",
W,1,"=""291.9288""","=""""","=""291.9290""","=""0.0008""","=""30""","=""""",,"=""13348.56""","=""47593.44""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""291.94859""","=""""","=""291.9487""","=""0.0003""","=""3""","=""""",,"=""20780.358""","=""55022.932""","=""""","=""""","=""9/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""291.9685""","=""""","=""291.9668""","=""0.0008""","=""6""","=""""",,"=""22476.68""","=""56717.13""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
